country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8
Vietnam,Hanoi,1.12,1.12,44.72,785,0.42,70.7,0.4,0.2,0.62,5,0.73,0.6,0.84,1.0,0.42,0.64
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8
United States,Kansas City,4.5,4.5,200.0,3051,0.8,34.0,0.6,0.6,1.0,97,0.89,1.0,0.83,0.8,0.8,0.44
United States,Kansas City,4.5,4.5,200.0,3051,0.8,34.0,0.6,0.6,1.0,97,0.89,1.0,0.83,0.8,0.8,0.44
Hong Kong,Hong Kong,3.22,3.22,257.83,1942,0.6,65.60000000000001,0.27,0.6,0.6,52,0.83,1.0,0.83,0.4,0.45,0.8
Australia,Perth,3.02,3.02,332.05,1938,1.0,22.5,0.6,0.8,1.0,5,0.88,0.6,0.83,0.8,0.8,1.0
United Kingdom,Perth,3.02,3.02,332.05,1938,1.0,22.5,0.6,0.8,1.0,5,0.88,0.6,0.83,0.8,0.8,1.0
Vietnam,Ho Chi Minh City,1.12,1.12,89.43,829,0.6,70.7,0.6,0.2,0.6,10,0.7,0.76,0.83,0.8,0.4,0.58
South Korea,Seoul,3.84,3.84,85.4,1892,1.0,36.1,1.0,0.6,0.8,56,0.88,1.0,0.83,0.8,0.4,1.0
Germany,Hamburg,4.3,4.3,430.13,3052,1.0,28.6,0.2,0.8,0.8,22,0.9,1.0,0.83,0.8,0.8,1.0
