country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
United States,Grand Rapids,5.0,5.0,99.0,3071,1.0,34.0,0.8,0.6,0.8,26,0.85,0.8,0.79,0.8,0.8,0.8,14
United States,Athens,5.91,5.91,209.69,2720,0.6,55.9,0.8,0.4,0.8,8,0.81,0.8,0.79,0.8,0.8,0.8,14
United States,Athens,5.91,5.91,209.69,2720,0.6,55.9,0.8,0.4,0.8,8,0.81,0.8,0.79,0.8,0.8,0.8,14
United States,Athens,5.91,5.91,209.69,2720,0.6,55.9,0.8,0.4,0.8,8,0.81,0.8,0.79,0.8,0.8,0.8,14
United States,Athens,5.91,5.91,209.69,2720,0.6,55.9,0.8,0.4,0.8,8,0.81,0.8,0.79,0.8,0.8,0.8,14
United States,Athens,5.91,5.91,209.69,2720,0.6,55.9,0.8,0.4,0.8,8,0.81,0.8,0.79,0.8,0.8,0.8,14
United States,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,14
United States,Panama City,3.5,3.5,300.0,3523,0.6,53.2,1.0,0.4,1.0,15,0.81,0.8,0.79,0.8,0.8,1.0,14
United States,Pittsburgh,5.0,5.0,150.0,3359,1.0,34.0,0.8,0.6,0.6,24,0.85,0.8,0.79,0.8,0.8,0.8,14
United States,Palo Alto,5.0,5.0,559.0,4029,0.6,34.0,0.8,0.6,0.8,19,0.85,0.8,0.79,0.8,0.8,0.8,14
United States,Oklahoma City,5.0,5.0,350.0,2834,0.8,34.0,0.8,0.6,0.6,0,0.82,0.6,0.79,0.8,0.8,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,Florence,6.45,6.45,204.31,3161,0.8,43.1,0.6,0.6,1.0,14,0.83,1.0,0.78,0.8,0.4,0.8,14
United States,St. Louis,5.0,5.0,100.0,3179,0.8,34.0,0.6,0.6,0.8,47,0.83,0.6,0.78,0.8,0.8,0.6,14
United States,Salt Lake City,5.0,5.0,400.0,3159,0.8,34.0,1.0,0.6,1.0,33,0.87,0.6,0.78,0.8,0.8,0.8,14
United States,Warsaw,2.43,2.43,121.7,2128,0.4,40.7,0.6,0.6,0.8,21,0.8,1.0,0.78,0.8,0.4,0.62,14
United States,London,6.24,6.24,249.5,3020,0.8,32.4,0.44,0.6,0.8,14,0.82,1.0,0.78,0.8,1.0,0.6,14
United States,Charlotte,5.0,5.0,21.0,2564,0.8,34.0,0.8,0.6,0.8,23,0.85,0.8,0.77,0.4,0.6,1.0,14
United States,Charlotte,5.0,5.0,21.0,2564,0.8,34.0,0.8,0.6,0.8,23,0.85,0.8,0.77,0.4,0.6,1.0,14
United States,Boulder,5.0,5.0,350.0,4217,0.8,34.0,0.6,0.6,1.0,61,0.93,0.8,0.77,0.8,0.8,0.8,14
United States,Bellingham,7.5,7.5,35.0,3281,0.8,34.0,0.6,0.6,1.0,18,0.83,0.4,0.77,0.8,0.8,0.8,14
United States,Bellingham,7.5,7.5,35.0,3281,0.8,34.0,0.6,0.6,1.0,18,0.83,0.4,0.77,0.8,0.8,0.8,14
United States,Honolulu,6.0,6.0,199.0,4306,1.0,34.0,0.6,0.6,1.0,6,0.88,0.8,0.77,0.8,0.8,1.0,14
United States,Cincinnati,5.05,5.05,35.0,2597,0.8,34.0,0.8,0.6,0.8,23,0.84,0.8,0.77,0.8,0.6,1.0,14
United States,Ottawa,3.69,3.69,88.63,2472,1.0,23.8,0.6,0.8,1.0,0,0.84,0.4,0.77,0.8,1.0,1.0,14
United States,Ottawa,3.69,3.69,88.63,2472,1.0,23.8,0.6,0.8,1.0,0,0.84,0.4,0.77,0.8,1.0,1.0,14
United States,Columbus,5.0,5.0,500.0,3535,0.8,34.0,0.6,0.6,1.0,52,0.83,0.6,0.77,0.8,0.8,0.8,14
United States,Columbus,5.0,5.0,500.0,3535,0.8,34.0,0.6,0.6,1.0,52,0.83,0.6,0.77,0.8,0.8,0.8,14
